track_id,album_id,media_type_id,genre_id,milliseconds
1,1,1,1,343719
2,2,2,1,342562
3,3,2,1,230619
4,3,2,1,252051
5,3,2,1,375418
6,1,1,1,205662
7,1,1,1,233926
8,1,1,1,210834
9,1,1,1,203102
10,1,1,1,263497
11,1,1,1,199836
12,1,1,1,263288
13,1,1,1,205688
14,1,1,1,270863
15,4,1,1,331180
16,4,1,1,215196
17,4,1,1,366654
18,4,1,1,267728
19,4,1,1,325041
20,4,1,1,369319
21,4,1,1,254380
22,4,1,1,323761
23,5,1,1,295680
24,5,1,1,321828
25,5,1,1,264698
26,5,1,1,310622
27,5,1,1,264855
28,5,1,1,330736
29,5,1,1,309263
30,5,1,1,356519
31,5,1,1,240718
32,5,1,1,215875
33,5,1,1,244375
34,5,1,1,316656
35,5,1,1,251036
36,5,1,1,307617
37,5,1,1,381231
38,6,1,1,284891
39,6,1,1,249234
40,6,1,1,188133
41,6,1,1,221570
42,6,1,1,176117
43,6,1,1,300355
44,6,1,1,239699
45,6,1,1,267493
46,6,1,1,280607
47,6,1,1,229825
48,6,1,1,227631
49,6,1,1,293485
50,6,1,1,491885
51,7,1,1,152084
52,7,1,1,286641
53,7,1,1,349831
54,7,1,1,241946
55,7,1,1,222955
56,7,1,1,387134
57,7,1,1,277577
58,7,1,1,284969
59,7,1,1,196231
60,7,1,1,344163
61,7,1,1,261955
62,7,1,1,243879
63,8,1,2,185338
64,8,1,2,285048
65,8,1,2,137273
66,8,1,2,169900
67,8,1,2,251977
68,8,1,2,129227
69,8,1,2,253178
70,8,1,2,134948
71,8,1,2,219663
72,8,1,2,169508
73,8,1,2,205662
74,8,1,2,126511
75,8,1,2,366837
76,8,1,2,271856
77,9,1,3,221701
78,9,1,3,436453
79,9,1,3,374543
80,9,1,3,322925
81,9,1,3,288208
82,9,1,3,308035
83,9,1,3,369345
84,9,1,3,350197
85,10,1,1,222380
86,10,1,1,277890
87,10,1,1,279457
88,10,1,1,249391
89,10,1,1,294034
90,10,1,1,263262
91,10,1,1,343457
92,10,1,1,334942
93,10,1,1,206053
94,10,1,1,206628
95,10,1,1,329534
96,10,1,1,303595
97,10,1,1,299598
98,10,1,1,317492
99,11,1,4,255529
100,11,1,4,291291
101,11,1,4,279484
102,11,1,4,255869
103,11,1,4,233691
104,11,1,4,276688
105,11,1,4,237714
106,11,1,4,233195
107,11,1,4,273763
108,11,1,4,278125
109,11,1,4,299102
110,11,1,4,309786
111,12,1,5,147591
112,12,1,5,106396
113,12,1,5,116088
114,12,1,5,161123
115,12,1,5,137639
116,12,1,5,140199
117,12,1,5,141923
118,12,1,5,163265
119,12,1,5,143595
120,12,1,5,143830
121,12,1,5,106266
122,12,1,5,107807
123,13,1,2,261851
124,13,1,2,456071
125,13,1,2,248084
126,13,1,2,294060
127,13,1,2,582086
128,13,1,2,318066
129,13,1,2,246151
130,13,1,2,274155
131,14,1,3,323683
132,14,1,3,246987
133,14,1,3,300747
134,14,1,3,235833
135,14,1,3,319373
136,14,1,3,273606
137,14,1,3,284081
138,14,1,3,247327
139,14,1,3,266266
140,14,1,3,282122
141,14,1,3,359157
142,14,1,3,555075
143,14,1,3,365662
144,15,1,3,194873
145,15,1,3,420022
146,15,1,3,276532
147,15,1,3,284368
148,15,1,3,271960
149,16,1,3,382066
150,16,1,3,264829
151,16,1,3,217573
152,16,1,3,368770
153,16,1,3,204930
154,16,1,3,644571
155,16,1,3,212062
156,17,1,3,494524
157,17,1,3,192496
158,17,1,3,286275
159,17,1,3,103157
160,17,1,3,285779
161,17,1,3,331676
162,17,1,3,234814
163,17,1,3,173087
164,17,1,3,149655
165,17,1,3,350458
166,18,1,4,47333
167,18,1,4,204251
168,18,1,4,4884
169,18,1,4,317936
170,18,1,4,6373
171,18,1,4,223216
172,18,1,4,11650
173,18,1,4,173008
174,18,1,4,95738
175,18,1,4,300721
176,18,1,4,392254
177,18,1,4,350171
178,18,1,4,6635
179,18,1,4,239020
180,18,1,4,166426
181,18,1,4,371539
182,18,1,4,281234
183,19,1,3,283167
184,19,1,3,246177
185,19,1,3,285257
186,19,1,3,269557
187,19,1,3,494393
188,19,1,3,265351
189,19,1,3,402390
190,19,1,3,359131
191,19,1,3,341655
192,19,1,3,509413
193,19,1,3,237531
194,20,1,6,140434
195,20,1,6,175386
196,20,1,6,433397
197,20,1,6,237662
198,20,1,6,235311
199,20,1,6,204721
200,20,1,6,136803
201,20,1,6,166060
202,20,1,6,182491
203,20,1,6,135053
204,20,1,6,589531
205,21,1,7,177397
206,21,1,7,99369
207,21,1,7,148793
208,21,1,7,482429
209,21,1,7,221936
210,21,1,7,84088
211,21,1,7,133172
212,21,1,7,156264
213,21,1,7,144326
214,21,1,7,181812
215,21,1,7,190589
216,21,1,7,223111
217,21,1,7,294765
218,21,1,7,299337
219,21,1,7,141270
220,21,1,7,251742
221,21,1,7,307252
222,21,1,7,281730
223,22,1,7,436636
224,22,1,7,195004
225,22,1,7,328071
226,23,1,7,163056
227,23,1,7,167235
228,23,1,7,369763
229,23,1,7,162429
230,23,1,7,283402
231,23,1,7,189675
232,23,1,7,172120
233,23,1,7,167288
234,23,1,7,186801
235,23,1,7,234501
236,23,1,7,132493
237,23,1,7,182256
238,23,1,7,175386
239,23,1,7,214099
240,23,1,7,260257
241,23,1,7,317570
242,23,1,7,169717
243,23,1,7,139154
244,23,1,7,153208
245,23,1,7,383059
246,24,1,7,33149
247,24,1,7,200933
248,24,1,7,152555
249,24,1,7,151823
250,24,1,7,249600
251,24,1,7,240091
252,24,1,7,227317
253,24,1,7,284264
254,24,1,7,99108
255,24,1,7,232672
256,24,1,7,240091
257,24,1,7,194560
258,24,1,7,126615
259,24,1,7,152659
260,24,1,7,132231
261,24,1,7,88764
262,24,1,7,71627
263,24,1,7,208222
264,24,1,7,175333
265,24,1,7,272431
266,24,1,7,273084
267,24,1,7,210155
268,24,1,7,221492
269,25,1,7,307095
270,25,1,7,243644
271,25,1,7,286720
272,25,1,7,216346
273,25,1,7,183640
274,25,1,7,271856
275,25,1,7,251559
276,25,1,7,88868
277,25,1,7,215405
278,25,1,7,248372
279,25,1,7,105586
280,25,1,7,193253
281,25,1,7,404323
282,26,1,8,249808
283,26,1,8,230922
284,26,1,8,254615
285,26,1,8,194220
286,26,1,8,222145
287,26,1,8,304352
288,26,1,8,236382
289,26,1,8,232280
290,26,1,8,248842
291,26,1,8,207542
292,26,1,8,221544
293,26,1,8,256026
294,26,1,8,173008
295,26,1,8,257619
296,26,1,8,195239
297,26,1,8,225332
298,26,1,8,231392
299,27,1,8,298396
300,27,1,8,206942
301,27,1,8,285231
302,27,1,8,282174
303,27,1,8,244950
304,27,1,8,225488
305,27,1,8,192391
306,27,1,8,240300
307,27,1,8,178155
308,27,1,8,289750
309,27,1,8,239725
310,27,1,8,267363
311,27,1,8,273031
312,27,1,8,211147
313,28,1,7,311353
314,28,1,7,244532
315,28,1,7,253492
316,28,1,7,244715
317,28,1,7,254040
318,28,1,7,264202
319,28,1,7,230452
320,28,1,7,275748
321,28,1,7,266605
322,28,1,7,214595
323,29,1,9,205479
324,29,1,9,198661
325,29,1,9,194194
326,29,1,9,188630
327,29,1,9,230791
328,29,1,9,206733
329,29,1,9,210155
330,29,1,9,190093
331,29,1,9,214256
332,29,1,9,210599
333,29,1,9,196519
334,29,1,9,206654
335,29,1,9,203493
336,29,1,9,166687
337,30,1,1,315951
338,30,1,1,263836
339,30,1,1,192653
340,30,1,1,401920
341,30,1,1,183327
342,30,1,1,260675
343,30,1,1,161149
344,30,1,1,312032
345,30,1,1,373394
346,30,1,1,127869
347,30,1,1,185260
348,30,1,1,380551
349,30,1,1,619467
350,30,1,1,711836
351,31,1,1,234553
352,31,1,1,359680
353,31,1,1,171284
354,31,1,1,183902
355,31,1,1,272561
356,31,1,1,144483
357,31,1,1,677694
358,31,1,1,88894
359,31,1,1,332878
360,32,1,10,276349
361,32,1,10,273920
362,32,1,10,282723
363,32,1,10,284969
